Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,1,1,1,101348.88,1
83807.86,1,0,1,112542.58,0
159660.8,3,1,0,113931.57,1
0,2,0,0,93826.63,0
125510.82,1,1,1,79084.1,0
113755.78,2,1,0,149756.71,1
0,2,1,1,10062.8,0
115046.74,4,1,0,119346.88,1
142051.07,2,0,1,74940.5,0
134603.88,1,1,1,71725.73,0
102016.72,2,0,0,80181.12,0
0,2,1,0,76390.01,0
0,2,1,0,26260.98,0
0,2,0,0,190857.79,0
0,2,1,1,65951.65,0
143129.41,2,0,1,64327.26,0
132602.88,1,1,0,5097.67,1
0,2,1,1,14406.41,0
0,1,0,0,158684.81,0
0,2,1,1,54724.03,0
0,2,1,1,170886.17,0
0,2,1,0,138555.46,0
0,1,1,0,118913.53,1
0,2,0,1,8487.75,0
0,1,1,1,187616.16,0
0,2,0,1,124508.29,0
136815.64,1,1,1,170041.95,0
0,2,0,0,38433.35,0
141349.43,1,1,1,100187.43,0
59697.17,2,1,1,53483.21,0
0,3,1,0,140469.38,1
85311.7,1,0,1,156731.91,0
110112.54,2,0,0,81898.81,0
0,2,1,1,34410.55,0
0,2,1,1,142033.07,0
134264.04,1,1,0,27822.99,1
145260.23,1,0,1,114066.77,0
76548.6,1,0,1,98453.45,0
0,1,1,1,40812.9,0
70349.48,2,0,1,178074.04,0
0,1,1,0,70154.22,0
122522.32,1,0,0,181297.65,1
117419.35,1,1,1,94153.83,0
131394.56,1,0,0,194365.76,1
155931.11,1,1,1,158338.39,0
109421.13,2,1,1,126517.46,0
112045.67,1,1,1,119708.21,1
137843.8,1,1,1,117622.8,1
103391.38,1,0,1,90878.13,0
103769.22,2,1,0,194099.12,0
116363.37,2,1,0,198059.16,0
146050.97,2,0,0,86424.57,0
0,2,0,0,116978.19,0
125561.97,1,0,0,164040.94,1
98495.72,1,1,0,40014.76,1
125211.92,1,1,1,113410.49,0
127864.4,1,1,0,87107.57,0
75888.2,1,0,0,45613.75,0
0,1,1,0,1643.11,1
40685.92,1,1,1,46775.28,0
136857,1,0,0,84509.57,0
152328.88,2,0,0,126494.82,0
56084.69,2,0,0,178798.13,0
78707.16,1,1,1,99398.36,0
109166.37,1,1,1,92840.67,0
169831.46,2,1,1,27758.36,0
101633.04,1,1,0,110431.51,0
123180.01,2,1,1,196673.28,0
150725.53,2,0,1,113656.85,0
98373.26,1,1,0,18203,0
133745.44,4,1,0,28373.86,1
0,1,1,0,33953.87,0
163607.18,1,0,1,44203.55,0
157780.84,2,1,1,58426.81,0
0,2,0,1,145562.4,0
178718.19,2,1,0,22388,0
0,2,1,1,139161.64,0
0,1,1,1,148210.64,0
77253.22,1,0,1,194239.63,0
122189.66,2,1,0,98301.61,0
96645.54,2,0,0,171413.66,0
0,1,1,0,136458.19,1
0,2,0,0,26019.59,0
90307.62,1,1,1,159235.29,0
0,2,1,0,1907.66,0
0,2,1,1,114675.75,0
121681.82,1,1,0,128643.35,1
0,2,1,0,151869.35,0
0,3,1,0,93251.42,1
81623.67,2,1,1,156791.36,0
0,3,1,1,174205.22,1
118626.55,2,1,0,147132.46,0
0,2,1,0,109614.57,0
0,2,1,1,172290.61,0
0,2,0,1,85982.47,0
176273.95,1,0,1,121277.78,0
102827.44,1,0,1,64595.25,0
97086.4,2,1,1,197276.13,0
0,2,0,0,99645.04,0
0,2,0,0,6534.18,0
0,1,1,1,161848.03,0
0,2,0,0,167162.43,0
82674.15,1,1,0,41970.72,0
0,2,1,0,60536.56,0
0,1,1,1,177655.68,1
107073.27,2,1,1,30984.59,1
88938.62,1,1,1,10054.53,0
99806.85,1,0,1,36976.52,0
150092.8,1,0,0,71862.79,0
92833.89,1,1,0,99449.86,1
90536.81,1,0,1,63082.88,0
108055.1,2,1,0,27231.26,0
100238.35,1,0,0,86797.41,0
106190.55,1,0,1,22994.32,0
154475.54,2,0,1,101300.94,1
132351.29,2,1,1,74169.13,0
167864.4,1,1,0,115638.29,0
0,2,1,0,31766.3,0
107818.63,1,1,0,199725.39,1
185173.81,2,1,0,120834.48,0
129433.34,2,0,0,38131.77,0
120193.42,1,0,0,100130.95,0
0,2,1,0,141069.88,0
126384.42,1,1,1,198129.36,0
0,1,0,0,183646.41,0
152603.45,1,1,0,110265.24,1
0,1,0,1,8636.05,1
148507.24,1,1,0,46824.08,1
0,2,1,0,171378.77,0
101827.07,1,1,0,167256.35,0
0,2,1,1,124226.16,0
130862.43,1,1,1,114935.21,0
122570.87,1,1,1,35608.88,0
0,2,0,1,16459.37,0
124828.46,2,1,1,124411.08,0
144895.05,2,1,1,34941.23,0
63663.93,1,0,1,167784.28,0
133463.1,1,0,1,93165.34,0
213146.2,1,1,0,75161.25,1
129490.36,2,0,1,8590.83,1
137452.09,1,1,0,189543.9,0
0,2,1,1,180427.24,0
125851.93,1,1,1,193318.33,0
0,1,1,0,159123.82,1
40915.55,1,1,0,126213.84,1
113157.22,1,1,1,54141.5,0
138296.94,2,1,0,141075.51,0
106967.18,1,0,0,24495.03,0
120681.63,1,1,0,74836.34,0
0,2,0,1,878.87,0
0,2,1,0,89520.75,0
0,1,1,0,149892.79,1
0,2,1,0,180800.42,0
127609.59,1,1,0,98646.22,0
0,2,1,1,109041.53,0
0,1,1,0,17941.16,1
0,2,0,0,82996.47,0
0,2,1,1,92067.35,0
97259.25,1,0,1,104719.66,0
123246.7,1,0,0,112687.57,0
101060.25,1,0,1,84699.56,0
0,2,1,0,83473.82,0
108007.36,1,0,0,47125.11,0
0,2,1,1,106977.8,0
133702.89,1,1,0,55582.54,1
125189.75,2,1,1,139874.43,0
113034.22,1,1,0,162503.48,1
109013.23,1,1,0,196499.96,0
0,2,1,0,40721.24,1
57929.81,2,0,0,53134.3,0
130114.39,1,1,0,164017.89,0
95826.49,2,1,0,155996.96,0
129608.57,1,1,0,5472.7,1
169462.09,1,1,0,112187.11,0
0,2,1,1,146457.83,0
133868.21,1,1,1,27286.1,0
0,2,1,1,130553.47,0
190479.48,2,0,0,179351.89,0
101993.12,1,0,1,94774.12,0
161608.81,1,1,0,8080.85,1
122311.21,1,1,1,19482.5,0
0,2,1,1,48071.61,0
162150.42,2,1,0,174531.27,0
0,2,1,1,55470.78,0
0,1,1,1,8546.87,1
0,2,1,0,95857.18,0
99010.67,1,1,0,194945.8,0
0,1,0,1,131521.72,0
0,2,0,1,196108.51,0
111388.18,2,1,0,148564.76,0
56214.85,2,0,0,92982.61,1
84327.77,2,1,0,17675.36,0
0,2,0,0,114996.43,0
93012.89,1,1,0,86957.42,0
61710.44,2,1,0,128077.8,0
174790.15,1,1,1,600.36,0
0,2,1,1,43001.46,0
107720.64,1,1,1,158591.12,0
0,2,1,1,47847.19,0
96423.84,1,1,0,10488.44,0
141040.01,1,1,1,5978.2,0
105420.18,1,0,1,121409.06,0
0,1,0,1,146145.93,1
129022.06,2,1,1,14374.86,1
176666.62,1,1,0,94670.77,0
0,1,1,1,179670.31,0
89763.84,1,0,0,199304.74,1
134954.53,1,1,1,151954.39,0
0,1,1,0,142513.5,1
106376.85,1,0,1,158264.62,0
